ID	Name	Category Number	Category Name	Category	Last Updated
map00010	Glycolysis / Gluconeogenesis	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	20-Mar-09
map00020	Citrate cycle (TCA cycle)	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	13-Jan-09
map00030	Pentose phosphate pathway	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	15-Jan-09
map00031	Inositol metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	29-Jan-09
map00040	Pentose and glucuronate interconversions	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	14-Mar-09
map00051	Fructose and mannose metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	18-Mar-09
map00052	Galactose metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	28-Jan-09
map00053	Ascorbate and aldarate metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	28-Jan-09
map00500	Starch and sucrose metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	14-Mar-09
map00520	Nucleotide sugars metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	13-Feb-09
map00530	Aminosugars metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	28-Jan-09
map00562	Inositol phosphate metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	23-Jan-09
map00620	Pyruvate metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	13-Mar-09
map00630	Glyoxylate and dicarboxylate metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	16-Jan-09
map00640	Propanoate metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	16-Jan-09
map00650	Butanoate metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	18-Mar-09
map00660	C5-Branched dibasic acid metabolism	1.1	Carbohydrate Metabolism	1.1 Carbohydrate Metabolism	16-Jan-09
map00190	Oxidative phosphorylation	1.2	Energy Metabolism	1.2 Energy Metabolism	21-Feb-09
map00195	Photosynthesis	1.2	Energy Metabolism	1.2 Energy Metabolism	21-Mar-09
map00196	Photosynthesis - antenna proteins	1.2	Energy Metabolism	1.2 Energy Metabolism	21-Mar-09
map00680	Methane metabolism	1.2	Energy Metabolism	1.2 Energy Metabolism	15-Jan-09
map00710	Carbon fixation in photosynthetic organisms	1.2	Energy Metabolism	1.2 Energy Metabolism	28-Jan-09
map00720	Reductive carboxylate cycle (CO2 fixation)	1.2	Energy Metabolism	1.2 Energy Metabolism	15-Jan-09
map00910	Nitrogen metabolism	1.2	Energy Metabolism	1.2 Energy Metabolism	3-Feb-09
map00920	Sulfur metabolism	1.2	Energy Metabolism	1.2 Energy Metabolism	18-Feb-09
map00061	Fatty acid biosynthesis	1.3	Lipid Metabolism	1.3 Lipid Metabolism	21-Jan-09
map00062	Fatty acid elongation in mitochondria	1.3	Lipid Metabolism	1.3 Lipid Metabolism	5-Feb-09
map00071	Fatty acid metabolism	1.3	Lipid Metabolism	1.3 Lipid Metabolism	18-Mar-09
